date,title,summary,url,source,text_for_nlp,is_tesla_related,is_musk_related
2023-02-16 13:56:18,"Tesla Fired Buffalo Workers Seeking to Organize, Union Says","A filing to the National Labor Relations Board called the dismissals retaliatory. The carmaker denied the allegation, saying they were based on performance.",https://www.nytimes.com/2023/02/16/business/tesla-buffalo-union.html,NYT,"Tesla Fired Buffalo Workers Seeking to Organize, Union Says A filing to the National Labor Relations Board called the dismissals retaliatory. The carmaker denied the allegation, saying they were based on performance.",1,0
2023-02-16 18:26:54,"Tesla to Recall 362,000 Cars With Its ‘Full Self Driving’ System","A federal auto safety agency said the technology can cause crashes, but said the company was unaware of any deaths or injuries caused by the flaws.",https://www.nytimes.com/2023/02/16/business/tesla-recall-full-self-driving.html,NYT,"Tesla to Recall 362,000 Cars With Its ‘Full Self Driving’ System A federal auto safety agency said the technology can cause crashes, but said the company was unaware of any deaths or injuries caused by the flaws.",1,0
2023-02-20 00:00:00,Tesla driver killed after plowing into firetruck on Northern California freeway,"A Tesla driver was killed and a passenger was critically injured Saturday when the car plowed into a fire truck that was parked on a Northern California freeway to shield a crew clearing another accident, fire officials said.",https://www.nbcnews.com/news/us-news/tesla-driver-killed-plowing-firetruck-northern-california-freeway-rcna71436,NBC,"Tesla driver killed after plowing into firetruck on Northern California freeway A Tesla driver was killed and a passenger was critically injured Saturday when the car plowed into a fire truck that was parked on a Northern California freeway to shield a crew clearing another accident, fire officials said.",1,0
2023-02-21 22:57:49,Judge Hears Arguments in Suit Over Musk’s Tesla Pay,Shareholders’ lawyers challenged the board’s contention that Elon Musk’s record-setting compensation was deserved and an effective tool of motivation.,https://www.nytimes.com/2023/02/21/business/elon-musk-tesla-pay-suit.html,NYT,Judge Hears Arguments in Suit Over Musk’s Tesla Pay Shareholders’ lawyers challenged the board’s contention that Elon Musk’s record-setting compensation was deserved and an effective tool of motivation.,1,1
2023-02-23 14:00:09,Why You Should Listen to Twitter on Two-Factor Authentication,Elon Musk was right: Text messages are not the most secure way to protect your account.,https://www.nytimes.com/2023/02/23/technology/personaltech/twitter-two-factor-authentication.html,NYT,Why You Should Listen to Twitter on Two-Factor Authentication Elon Musk was right: Text messages are not the most secure way to protect your account.,0,1
2023-02-27 00:00:00,Elon Musk calls U.S. media and schools 'racist against whites & Asians' after newspapers drop 'Dilbert',"Elon Musk, the CEO of SpaceX, Tesla and Twitter, accused “the media” and “elite colleges and high schools” of being “racist” against white and Asian people.",https://www.nbcnews.com/tech/tech-news/elon-musk-calls-us-media-schools-racist-whites-asians-newspapers-drop-rcna72437,NBC,"Elon Musk calls U.S. media and schools 'racist against whites & Asians' after newspapers drop 'Dilbert' Elon Musk, the CEO of SpaceX, Tesla and Twitter, accused “the media” and “elite colleges and high schools” of being “racist” against white and Asian people.",1,1
2023-02-27 02:01:12,"In Latest Round of Job Cuts, Twitter Is Said to Lay Off at Least 200 Employees","The social media platform now has a work force of less than 2,000, down from 7,500 when Elon Musk took it over in October.",https://www.nytimes.com/2023/02/26/technology/twitter-layoffs.html,NYT,"In Latest Round of Job Cuts, Twitter Is Said to Lay Off at Least 200 Employees The social media platform now has a work force of less than 2,000, down from 7,500 when Elon Musk took it over in October.",0,1
2023-02-27 15:22:58,Musk Claims Media Bias in Debate Over ‘Dilbert’ Creator’s Racist Rant,"The Twitter chief waded into a scandal involving the cartoonist Scott Adams, as Twitter undergoes layoffs and struggles to lure back advertisers.",https://www.nytimes.com/2023/02/27/business/elon-musk-dilbert.html,NYT,"Musk Claims Media Bias in Debate Over ‘Dilbert’ Creator’s Racist Rant The Twitter chief waded into a scandal involving the cartoonist Scott Adams, as Twitter undergoes layoffs and struggles to lure back advertisers.",0,1
2023-02-28 00:00:00,Chinese state-linked paper lashes out at Elon Musk over lab leak theory,A Chinese state-run media outlet has issued a word of warning to Elon Musk: Be careful about how you talk about China.,https://www.nbcnews.com/tech/tech-news/chinese-government-linked-paper-lashes-elon-musk-lab-leak-theory-rcna72788,NBC,Chinese state-linked paper lashes out at Elon Musk over lab leak theory A Chinese state-run media outlet has issued a word of warning to Elon Musk: Be careful about how you talk about China.,0,1
2023-03-01 14:28:20,Tesla Offers a New ‘Master Plan’ but Few Big Revelations,"Elon Musk confirmed his car company would build a factory in Mexico and said it was working on more affordable vehicles. But he did not reveal a new model, disappointing some investors.",https://www.nytimes.com/2023/03/01/business/tesla-musk-investors.html,NYT,"Tesla Offers a New ‘Master Plan’ but Few Big Revelations Elon Musk confirmed his car company would build a factory in Mexico and said it was working on more affordable vehicles. But he did not reveal a new model, disappointing some investors.",1,1
