title,url,date_text,summary,date
"AI risks leading humanity to 'extinction,' experts warn",https://www.nbcnews.com/tech/tech-news/ai-risks-leading-humanity-extinction-experts-warn-rcna86791,"May 30, 2023",Many of the biggest names in artificial intelligence have signed a short statement warning that their technology could spell the end of the human race.,2023-05-30
Musk leaves China after whirlwind trip filled with praise and politics,https://www.nbcnews.com/news/world/musk-china-politics-tesla-twitter-rcna87378,"Jun 02, 2023","World’s richest man Elon Musk was welcomed by top officials and hailed by citizens during his China visit, opposing “decoupling” amid China-U.S. tensions.",2023-06-02
Elon Musk meets Chinese officials in Shanghai,https://www.nbcnews.com/video/elon-musk-meets-chinese-officials-in-shanghai-179322949906,"Jun 02, 2023",,2023-06-02
California campground gunman sentenced to 119 years in string of shootings that killed a father,https://www.nbcnews.com/news/us-news/california-campground-gunman-sentenced-119-years-string-shootings-kill-rcna88268,"Jun 07, 2023","A gunman convicted of murder in a series of shootings in and around a Southern California campground that left a pharmaceutical scientist dead and spanned nearly two years was sentenced Wednesday to 119 years to life, his lawyer said.",2023-06-07
"Black workers at California Tesla factory allege rampant racism, seek class-action status",https://www.nbcnews.com/business/business-news/black-workers-california-tesla-factory-allege-rampant-racism-rcna88343,"Jun 08, 2023",Tesla may face a class-action lawsuit after 240 Black factory workers in California described rampant racism and discrimination at the electric automaker’s San Francisco Bay Area plant.,2023-06-08
Golf's PGA Tour and LIV merger is the latest power play by Saudi Arabia,https://www.nbcnews.com/business/business-news/golfs-pga-tour-liv-merger-latest-power-play-saudi-arabia-rcna88325,"Jun 08, 2023","Observers say it's the latest attempt by the Saudis to flex their influence across a breadth of American institutions, from Hollywood to Silicon Valley.",2023-06-08
GM and Ford agree to allow electric vehicle drivers to use Tesla chargers,https://www.nbcnews.com/nightly-news/video/gm-and-ford-agree-to-allow-electric-vehicle-drivers-to-use-tesla-chargers-181544005639,"Jun 09, 2023",,2023-06-09
GM’s electric vehicles will gain access to Tesla’s vast charging network,https://www.nbcnews.com/tech/tech-news/gms-electric-vehicles-will-gain-access-teslas-vast-charging-network-rcna88535,"Jun 09, 2023",Electric vehicles made by General Motors will be able to use much of Tesla’s extensive charging network beginning early next year.,2023-06-09
"Six months after ‘zero Covid,’ U.S. firms in China still face an unpredictable business climate",https://www.nbcnews.com/business/business-news/six-months-zero-covid-us-firms-china-still-face-unpredictable-business-rcna87915,"Jun 10, 2023","Government raids on foreign companies have undercut Beijing’s open-for-business message, reinforcing fears about the risks of operating in a market that remains essential.",2023-06-10
George Soros hands control of his $25 billion empire to his son Alex,https://www.nbcnews.com/business/business-news/george-soros-hands-control-25-billion-empire-son-alex-rcna88806,"Jun 12, 2023",Philanthropist billionaire George Soros confirmed that he is handing control of his $25 billion empire to his son Alex.,2023-06-12
